"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Pressure","Temperature","Mach","Pressure_Coefficient","Laminar_Viscosity","Skin_Friction_Coefficient_x","Skin_Friction_Coefficient_y","Heat_Flux","Y_Plus"
695, -2.000000000000000e+00, -1.625000000000000e+00, 4.968586290912985e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.279334705543355e+04, 5.117338822173419e+03, 3.587911163470882e+02, 0.000000000000000e+00, 2.522958606723344e-01, 2.111787450950316e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.432989254419254e+00, 0.000000000000000e+00
696, -1.937500000000000e+00, -1.625000000000000e+00, 5.074927749467703e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.320611555417448e+04, 5.282446221669791e+03, 3.626064842283247e+02, 0.000000000000000e+00, 3.065278817812447e-01, 2.128255272600637e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.475164962245332e+00, 0.000000000000000e+00
697, -1.875000000000000e+00, -1.625000000000000e+00, 5.185645039798346e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.364722916284700e+04, 5.458891665138798e+03, 3.667178376230025e+02, 0.000000000000000e+00, 3.644840548175261e-01, 2.145901891159375e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.517978491790832e+00, 0.000000000000000e+00
698, -1.812500000000000e+00, -1.625000000000000e+00, 5.300627184243926e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.411773246480305e+04, 5.647092985921216e+03, 3.711316776115478e+02, 0.000000000000000e+00, 4.263016234578774e-01, 2.164734496279578e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.562102243775026e+00, 0.000000000000000e+00
699, -1.750000000000000e+00, -1.625000000000000e+00, 5.419567355234978e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.461838011719782e+04, 5.847352046879128e+03, 3.758590130345863e+02, 0.000000000000000e+00, 4.920797391222730e-01, 2.184777691285795e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.611059372852426e+00, 0.000000000000000e+00
700, -1.687500000000000e+00, -1.625000000000000e+00, 5.541773960302718e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.514960431109140e+04, 6.059841724436559e+03, 3.809279317612167e+02, 0.000000000000000e+00, 5.618751856853651e-01, 2.206125614730519e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.673139583657410e+00, 0.000000000000000e+00
701, -1.625000000000000e+00, -1.625000000000000e+00, 5.665962097032424e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.571150232455341e+04, 6.284600929821363e+03, 3.863975692544474e+02, 0.000000000000000e+00, 6.357007441281191e-01, 2.228997490941687e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.762758573878034e+00, 0.000000000000000e+00
702, -1.562500000000000e+00, -1.625000000000000e+00, 5.790138047356052e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.630383090289319e+04, 6.521532361157274e+03, 3.923657413302002e+02, 0.000000000000000e+00, 7.135244541784718e-01, 2.253763844061350e-05, 0.000000000000000e+00, 0.000000000000000e+00, -1.900074614026686e+00, 0.000000000000000e+00
703, -1.500000000000000e+00, -1.625000000000000e+00, 5.911727322891810e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.692596304213864e+04, 6.770385216855455e+03, 3.989599775548598e+02, 0.000000000000000e+00, 7.952639362634818e-01, 2.280902082720032e-05, 0.000000000000000e+00, 0.000000000000000e+00, -2.107752059058768e+00, 0.000000000000000e+00
704, -1.437500000000000e+00, -1.625000000000000e+00, 6.028062478047953e-02, 0.000000000000000e+00, 0.000000000000000e+00, 1.757674732267037e+04, 7.030698929068146e+03, 4.063040030874853e+02, 0.000000000000000e+00, 8.807679099116623e-01, 2.310852836672756e-05, 0.000000000000000e+00, 0.000000000000000e+00, -2.404505137293936e+00, 0.000000000000000e+00
